id;accuracy;pred_0_0;pred_1_0;pred_0_1;pred_1_1;class_recall_0_0;class_recall_1_1;class_precision_0_0;class_precision_1_1;number_of_trees;max_depth;pruning
1;74.78%;995;649;402;2121;60.52%;84.07%;71.22%;76.57%50;10;TRUE
2;74.95%;986;658;386;2137;59.98%;84.70%;71.87%;76.46%100;10;TRUE
3;75.09%;978;666;372;2151;59.49%;85.26%;72.44%;76.36%200;10;TRUE
4;74.95%;980;664;380;2143;59.61%;84.94%;72.06%;76.31%300;10;TRUE
5;75.16%;980;664;371;2151;59.61%;85.30%;72.54%;76.42%400;10;TRUE
6;75.11%;983;661;376;2147;59.79%;85.10%;72.33%;76.46%500;10;TRUE
7;75.04%;974;670;370;2153;59.25%;85.33%;72.47%;76.27%50;10;TRUE
8;75.33%;984;660;368;2155;59.85%;85.41%;72.78%;76.55%100;10;TRUE
9;75.09%;972;672;366;2157;59.12%;85.49%;72.65%;76.25%200;10;TRUE
10;75.07%;969;675;364;2159;58.94%;85.57%;72.69%;76.18%300;10;TRUE
11;75.14%;968;676;360;2163;58.88%;85.73%;72.89%;76.19%400;10;TRUE
12;75.19%;972;672;362;2161;59.12%;85.65%;72.86%;76.28%500;10;TRUE
13;75.07%;973;671;368;2155;59.18%;85.41%;72.56%;76.26%50;10;TRUE
14;75.07%;975;669;370;2153;59.31%;85.33%;72.49%;76.29%100;10;TRUE
15;75.28%;973;671;359;2164;59.18%;85.77%;73.05%;76.33%200;10;TRUE
16;75.26%;976;668;363;2160;59.37%;85.61%;72.89%;76.38%300;10;TRUE
17;75.26%;969;675;356;2167;58.94%;85.89%;73.13%;76.25%400;10;TRUE
18;75.21%;973;671;362;2161;59.18%;85.65%;72.88%;76.31%500;10;TRUE
19;74.92%;981;663;382;2141;59.67%;84.86%;71.97%;76.36%50;10;TRUE
20;75.26%;979;665;366;2157;59.55%;85.49%;72.79%;76.44%100;10;TRUE
21;75.43%;975;669;355;2168;59.31%;85.93%;73.31%;76.42%200;10;TRUE
22;75.09%;978;666;372;2151;59.49%;85.26%;72.44%;76.36%300;10;TRUE
23;75.45%;978;666;357;2166;59.49%;85.85%;73.26%;76.48%400;10;TRUE
24;75.21%;974;670;363;2160;59.25%;85.61%;72.85%;76.33%500;10;TRUE
25;74.95%;981;663;381;2142;59.67%;84.90%;72.03%;76.36%50;10;TRUE
26;75.28%;981;663;367;2156;59.67%;85.45%;72.77%;76.48%100;10;TRUE
27;75.28%;979;665;365;2158;59.55%;85.53%;72.84%;76.44%200;10;TRUE
28;75.19%;978;666;368;2155;59.49%;85.41%;72.66%;76.36%300;10;TRUE
29;75.26%;976;668;363;2160;59.37%;85.61%;72.89%;76.38%400;10;TRUE
30;75.28%;976;668;362;2161;59.37%;85.65%;72.94%;76.39%500;10;TRUE
31;74.95%;1001;643;401;2122;60.89%;84.11%;71.40%;76.75%50;10;FALSE
32;75.11%;991;653;384;2139;60.28%;84.78%;72.07%;76.61%100;10;FALSE
33;74.83%;975;669;380;2143;59.31%;84.94%;71.96%;76.21%200;10;FALSE
34;74.92%;973;671;374;2149;59.18%;85.18%;72.23%;76.21%300;10;FALSE
35;75.07%;979;665;374;2149;59.55%;85.18%;72.36%;76.37%400;10;FALSE
36;75.04%;982;662;378;2145;59.73%;85.02%;72.21%;76.42%500;10;FALSE
37;74.83%;961;683;366;2157;58.45%;85.49%;72.42%;75.95%50;10;FALSE
38;75.09%;966;678;360;2163;58.76%;85.73%;72.85%;76.14%100;10;FALSE
39;74.87%;960;684;363;2160;58.39%;85.61%;72.56%;75.95%200;10;FALSE
40;75.11%;965;679;358;2165;58.70%;85.81%;72.94%;76.13%300;10;FALSE
41;75.21%;967;677;356;2167;58.82%;85.89%;73.09%;76.20%400;10;FALSE
42;75.21%;968;676;357;2166;58.88%;85.85%;73.06%;76.21%500;10;FALSE
43;74.97%;969;675;368;2155;58.94%;85.41%;72.48%;76.15%50;10;FALSE
44;74.85%;963;681;367;2156;58.58%;85.45%;72.41%;76.00%100;10;FALSE
45;75.14%;963;681;355;2168;58.58%;85.93%;73.07%;76.10%200;10;FALSE
46;75.23%;967;677;355;2168;58.82%;85.93%;73.15%;76.20%300;10;FALSE
47;75.04%;959;685;355;2168;58.33%;85.93%;72.98%;75.99%400;10;FALSE
48;75.07%;963;681;358;2165;58.58%;85.81%;72.90%;76.07%500;10;FALSE
49;75.16%;971;673;362;2161;59.06%;85.65%;72.84%;76.25%50;10;FALSE
50;75.16%;967;677;358;2165;58.82%;85.81%;72.98%;76.18%100;10;FALSE
51;75.26%;963;681;350;2173;58.58%;86.13%;73.34%;76.14%200;10;FALSE
52;75.28%;968;676;354;2169;58.88%;85.97%;73.22%;76.24%300;10;FALSE
53;75.23%;967;677;355;2168;58.82%;85.93%;73.15%;76.20%400;10;FALSE
54;75.14%;966;678;358;2165;58.76%;85.81%;72.96%;76.15%500;10;FALSE
55;75.14%;977;667;369;2154;59.43%;85.37%;72.59%;76.36%50;10;FALSE
56;75.04%;964;680;360;2163;58.64%;85.73%;72.81%;76.08%100;10;FALSE
57;75.21%;965;679;354;2169;58.70%;85.97%;73.16%;76.16%200;10;FALSE
58;75.23%;967;677;355;2168;58.82%;85.93%;73.15%;76.20%300;10;FALSE
59;75.23%;964;680;352;2171;58.64%;86.05%;73.25%;76.15%400;10;FALSE
60;75.07%;971;673;366;2157;59.06%;85.49%;72.63%;76.22%500;10;FALSE
