id;accuracy;pred_1_1;pred_1_0;pred_0_1;pred_0_0;class_recall_1_1;class_recall_0_0;class_precision_1_1;class_precision_0_0;number_of_trees;max_depth;pruning
1;35.48%;267;25;3556;1702;91.44%;32.37%;6.98%;98.55%;100;10;FALSE
2;37.51%;266;26;3442;1816;91.10%;34.54%;7.17%;98.59%;200;10;FALSE
3;37.86%;266;26;3423;1835;91.10%;34.90%;7.21%;98.60%;300;10;FALSE
4;37.77%;266;26;3428;1830;91.10%;34.80%;7.20%;98.60%;400;10;FALSE
5;37.73%;266;26;3430;1828;91.10%;34.77%;7.20%;98.60%;500;10;FALSE
6;37.53%;266;26;3441;1817;91.10%;34.56%;7.18%;98.59%;50;10;FALSE
7;37.57%;266;26;3439;1819;91.10%;34.59%;7.18%;98.59%;100;10;TRUE
8;37.60%;266;26;3437;1821;91.10%;34.63%;7.18%;98.59%;200;10;TRUE
9;37.64%;266;26;3435;1823;91.10%;34.67%;7.19%;98.59%;300;10;TRUE
10;37.66%;266;26;3434;1824;91.10%;34.69%;7.19%;98.59%;400;10;TRUE
11;37.60%;266;26;3437;1821;91.10%;34.63%;7.18%;98.59%;500;10;TRUE
12;37.60%;266;26;3441;1817;91.10%;34.56%;7.18%;98.59%;50;10;TRUE
13;39.96%;262;30;3302;1956;89.73%;37.20%;7.35%;98.49%;50;15;TRUE
14;39.06%;266;26;3356;1902;91.10%;36.17%;7.34%;98.65%;50;15;FALSE
15;38.76%;266;26;3373;1885;91.10%;35.85%;7.31%;98.64%;100;15;FALSE
16;39.80%;266;26;3315;1943;91.10%;36.95%;7.43%;98.68%;100;15;TRUE
17;38.90%;266;26;3365;1893;91.10%;36.00%;7.33%;98.65%;200;15;FALSE
18;40.56%;262;30;3269;1989;89.73%;37.83%;7.42%;98.51%;200;15;TRUE
19;38.83%;266;26;3369;1889;91.10%;35.93%;7.32%;98.64%;300;15;FALSE
20;40.36%;262;30;3280;1978;89.73%;37.62%;7.40%;98.51%;300;15;TRUE
21;38.81%;266;26;3370;1888;91.10%;35.91%;7.32%;98.64%;400;15;FALSE
22;40.34%;262;30;3281;1977;89.73%;37.60%;7.39%;98.51%;400;15;TRUE
23;38.85%;266;26;3368;1890;91.10%;35.95%;7.32%;98.64%;500;15;FALSE
24;40.65%;262;30;3264;1994;89.73%;37.92%;7.43%;98.52%;500;15;TRUE
25;56.22%;236;56;2374;2884;80.82%;54.85%;9.04%;98.10%;100;20;TRUE
26;48.09%;250;42;2839;2419;85.62%;46.01%;8.09%;98.29%;100;20;FALSE
27;48.09%;250;42;2839;2419;85.62%;46.01%;8.09%;98.29%;200;20;FALSE
28;55.32%;237;55;2425;2833;81.16%;53.88%;8.90%;98.10%;200;20;TRUE
29;55.55%;237;55;2412;2846;81.16%;54.13%;8.95%;98.10%;300;20;TRUE
30;48.13%;250;42;2837;2421;85.62%;46.04%;8.10%;98.29%;300;20;FALSE
31;48.11%;250;42;2838;2420;85.62%;46.03%;8.10%;98.29%;400;20;FALSE
32;55.86%;236;56;2394;2864;80.82%;54.47%;8.97%;98.08%;400;20;TRUE
33;48.22%;250;42;2832;2436;85.62%;46.14%;8.11%;98.30%;500;20;FALSE
34;55.86%;237;55;2395;2863;81.16%;54.45%;9.00%;98.12%;500;20;TRUE
35;46.59%;252;40;2924;2334;86.30%;44.39%;7.93%;98.32%;50;20;FALSE
36;51.03%;246;46;2672;2586;84.25%;49.18%;8.43%;98.25%;50;20;TRUE
