id;accuracy;pred_1_1;pred_1_0;pred_0_1;pred_0_0;class_recall_1_1;class_recall_0_0;class_precision_1_1;class_precision_0_0;number_of_trees;max_depth;prepruning
1;74.09%;587;139;161;271;80.85%;62.73%;78.48%;66.10%;50;10;FALSE
2;74.53%;580;146;149;283;79.89%;65.51%;79.56%;65.97%;50;10;TRUE
3;74.61%;592;134;160;272;81.54%;62.96%;78.72%;67.00%;100;10;FALSE
4;74.53%;580;146;149;283;79.89%;65.51%;79.56%;65.97%;100;10;TRUE
5;74.61%;591;135;159;273;81.40%;63.19%;78.80%;66.91%;200;10;FALSE
6;74.70%;583;143;150;282;80.30%;65.28%;79.54%;66.35%;200;10;TRUE
7;74.96%;592;134;156;276;81.54%;63.89%;79.14%;67.32%;300;10;FALSE
8;74.53%;582;144;151;281;80.17%;65.05%;79.40%;66.12%;300;10;TRUE
9;75.04%;594;132;157;275;81.82%;63.66%;79.09%;67.57%;400;10;FALSE
10;74.61%;584;142;152;280;80.44%;64.81%;79.35%;66.35%;400;10;TRUE
11;75.04%;592;134;155;277;81.54%;64.12%;79.25%;67.40%;500;10;FALSE
12;74.44%;581;145;151;281;80.03%;65.05%;79.37%;65.96%;500;10;TRUE
13;74.18%;603;123;176;256;83.06%;59.26%;77.41%;67.55%;50;15;FALSE
14;74.61%;582;144;150;282;80.17%;65.28%;79.51%;66.20%;50;15;TRUE
15;74.78%;607;119;173;259;83.61%;59.95%;77.82%;68.52%;100;15;FALSE
16;74.27%;581;145;153;279;80.03%;64.58%;79.16%;65.80%;100;15;TRUE
17;75.30%;607;119;167;265;83.61%;61.34%;78.42%;69.01%;200;15;FALSE
18;74.27%;578;148;150;282;79.61%;65.28%;79.40%;65.58%;200;15;TRUE
19;75.22%;607;119;168;264;83.61%;61.11%;78.32%;68.93%;300;15;FALSE
20;74.01%;579;147;154;278;79.75%;64.35%;78.99%;65.41%;300;15;TRUE
21;74.87%;605;121;170;262;83.33%;60.65%;78.06%;68.41%;400;15;FALSE
22;73.92%;579;147;155;277;79.75%;64.12%;78.88%;65.33%;400;15;TRUE
23;75.30%;609;117;169;263;83.88%;60.88%;78.28%;69.21%;500;15;FALSE
24;74.01%;580;146;155;277;79.89%;64.12%;78.91%;65.48%;500;15;TRUE
25;73.40%;599;127;181;251;82.51%;58.10%;76.79%;66.40%;50;20;FALSE
26;74.61%;587;139;155;277;80.85%;64.12%;79.11%;66.59%;50;20;TRUE
27;72.97%;596;130;183;249;82.09%;57.64%;76.51%;65.70%;100;20;FALSE
28;74.96%;589;137;153;279;81.13%;64.58%;79.38%;67.07%;100;20;TRUE
29;73.92%;603;123;179;253;83.06%;58.56%;77.11%;67.29%;200;20;FALSE
30;74.44%;582;144;152;280;80.17%;64.81%;79.29%;66.04%;200;20;TRUE
31;73.83%;602;124;179;253;82.92%;58.56%;77.08%;67.11%;300;20;FALSE
32;74.44%;581;145;151;281;80.03%;65.05%;79.37%;65.96%;300;20;TRUE
33;73.58%;603;123;183;249;83.06%;57.64%;76.72%;66.94%;400;20;FALSE
34;74.35%;583;143;154;278;80.30%;64.35%;79.10%;66.03%;400;20;TRUE
35;73.75%;603;123;181;251;83.06%;58.10%;76.91%;67.11%;500;20;FALSE
36;74.53%;584;142;153;279;80.44%;64.58%;79.24%;66.27%;500;20;TRUE
37;72.19%;589;137;185;247;81.13%;57.18%;76.10%;64.32%;50;25;FALSE
38;74.09%;581;145;155;277;80.03%;64.12%;78.94%;65.64%;50;25;TRUE
39;73.14%;600;126;185;247;82.64%;57.18%;76.43%;66.22%;100;25;FALSE
40;74.70%;586;140;153;279;80.72%;64.58%;79.30%;66.59%;100;25;TRUE
41;73.49%;605;121;186;246;83.33%;56.94%;76.49%;67.03%;200;25;FALSE
42;74.35%;584;142;155;277;80.44%;64.12%;79.03%;66.11%;200;25;TRUE
43;73.75%;604;122;182;250;83.20%;57.87%;76.84%;67.20%;300;25;FALSE
44;74.18%;581;145;154;278;80.03%;64.35%;79.05%;65.72%;300;25;TRUE
45;74.18%;607;119;180;252;83.61%;58.33%;77.13%;67.92%;400;25;FALSE
46;74.70%;588;138;155;277;80.99%;64.12%;79.14%;66.75%;400;25;TRUE
47;73.66%;602;124;181;251;82.92%;58.10%;76.88%;66.93%;500;25;FALSE
48;74.53%;586;140;155;277;80.72%;64.12%;79.08%;66.43%;500;25;TRUE
49;72.71%;592;134;182;250;81.54%;57.87%;76.49%;65.10%;50;30;FALSE
50;74.18%;581;145;154;278;80.03%;64.35%;79.05%;65.72%;50;30;TRUE
51;73.14%;599;127;184;248;82.51%;57.41%;76.50%;66.13%;100;30;FALSE
52;74.44%;583;143;153;279;80.30%;64.58%;79.21%;66.11%;100;30;TRUE
53;73.83%;605;121;182;250;83.33%;57.87%;76.87%;67.39%;200;30;FALSE
54;74.35%;585;141;156;276;80.58%;63.89%;78.95%;66.19%;200;30;TRUE
55;73.66%;604;122;183;249;83.20%;57.64%;76.75%;67.12%;300;30;FALSE
56;74.27%;583;143;155;277;80.30%;64.12%;79.00%;65.95%;300;30;TRUE
57;73.92%;604;122;180;252;83.20%;58.33%;77.04%;67.38%;400;30;FALSE
58;74.70%;587;139;154;278;80.85%;64.35%;79.22%;66.67%;400;30;TRUE
59;73.75%;602;124;180;252;82.92%;58.33%;76.98%;67.02%;500;30;FALSE
60;74.53%;585;141;154;278;80.58%;64.35%;79.16%;66.35%;500;30;TRUE
