funding_total_usd ;market ;funding_rounds;seed;venture;equity_crowdfunding;undisclosed;debt_financing;angel;grant;private_equity;post_ipo_equity;post_ipo_debt;secondary_market;product_crowdfunding;round_A;round_B;round_C;round_D;round_E;round_F;round_G;round_H;Status;firm_age
60000;Tourism ;2;0;0;60000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;11
2050000;E-Commerce ;4;0;0;0;0;2050000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;24
40000;Search ;1;40000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;17
2535000;Curated Web ;2;15000;2520000;0;0;0;0;0;0;0;0;0;0;2520000;0;0;0;0;0;0;0;1;15
4962651;Curated Web ;6;0;3814772;0;0;1147879;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;17
420000;Health Care Information Technology ;1;420000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;11
1250000;Analytics ;2;750000;500000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;14
3.50E+07;Software ;1;0;35000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;25
50000;Curated Web ;1;50000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16
3000000;Biotechnology ;1;0;0;0;0;3000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;13
77500;Software ;1;0;0;0;0;77500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;15
794000;Pharmaceuticals ;6;69000;0;0;0;0;500000;225000;0;0;0;0;0;0;0;0;0;0;0;0;0;1;14
6.65E+07;Manufacturing ;8;0;63450000;0;0;0;0;3000000;0;0;0;0;0;12400000;28400000;17500000;0;0;0;0;0;1;18
5500000;Advertising ;2;0;5500000;0;0;0;0;0;0;0;0;0;0;3000000;2500000;0;0;0;0;0;0;1;15
500000;Entertainment ;1;500000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;15
3400000;Software ;3;2200000;0;0;0;0;1200000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;14
199957;Software ;1;0;199957;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;19
50000;Games ;1;0;0;0;0;0;50000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;16
50000;E-Commerce ;1;50000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17
1450000;Software ;1;0;1450000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;15
