"funding_total_usd ";"name";"market ";"status";"funding_rounds";"founded_at";"first_funding_at";"Statuts"
"60000";"-R- Ranch and Mine";"Tourism ";"operating";2;2014-01-01 00:00:00;2014-08-17 00:00:00;0
"2050000";"10-20 Media";"E-Commerce ";"operating";4;2001-01-01 00:00:00;2009-06-18 00:00:00;0
"40000";"1000 Corks";"Search ";"operating";1;2008-01-01 00:00:00;2011-08-23 00:00:00;0
"2535000";"1000memories";"Curated Web ";"acquired";2;2010-07-01 00:00:00;2010-01-01 00:00:00;0
"4962651";"1000museums.com";"Curated Web ";"operating";6;2008-01-01 00:00:00;2009-10-14 00:00:00;0
"420000";"100health";"Health Care Information Technology ";"operating";1;2014-07-04 00:00:00;2014-11-26 00:00:00;0
"1250000";"100Plus";"Analytics ";"acquired";2;2011-09-16 00:00:00;2011-11-02 00:00:00;0
"35000000";"1010data";"Software ";"operating";1;2000-01-01 00:00:00;2010-03-08 00:00:00;0
"50000";"10BestThings";"Curated Web ";"closed";1;2009-04-01 00:00:00;2009-04-01 00:00:00;1
"3000000";"10X Technologies";"Biotechnology ";"operating";1;2012-01-01 00:00:00;2012-11-07 00:00:00;0
"77500";"10X10 Room";"Software ";"operating";1;2010-01-01 00:00:00;2011-10-12 00:00:00;0
"794000";"121nexus";"Pharmaceuticals ";"operating";6;2011-10-07 00:00:00;2012-02-06 00:00:00;0
"66450000";"1366 Technologies";"Manufacturing ";"operating";8;2007-01-01 00:00:00;2008-03-27 00:00:00;0
"5500000";"140 Proof";"Advertising ";"operating";2;2010-01-11 00:00:00;2009-07-01 00:00:00;0
"500000";"140Fire";"Entertainment ";"operating";1;2010-01-01 00:00:00;2010-05-05 00:00:00;0
"3400000";"15Five";"Software ";"operating";3;2011-05-01 00:00:00;2012-01-01 00:00:00;0
"199957";"16 Mile Solutions";"Software ";"operating";1;2006-01-01 00:00:00;2009-06-11 00:00:00;0
"50000";"169 ST.";"Games ";"operating";1;2009-05-15 00:00:00;2009-06-01 00:00:00;0
"50000";"1DayMakeover";"E-Commerce ";"closed";1;2008-06-30 00:00:00;2008-06-30 00:00:00;1
"1450000";"1Energy Systems";"Software ";"operating";1;2010-01-01 00:00:00;2013-04-22 00:00:00;0
"30000000";"1Life Healthcare";"Health and Wellness ";"operating";1;2002-01-01 00:00:00;2013-03-21 00:00:00;0
"500000";"1Mind";"Social Media ";"operating";1;2011-01-01 00:00:00;2013-08-05 00:00:00;0
"30000";"1spire";"Manufacturing ";"operating";1;2011-10-01 00:00:00;2011-12-20 00:00:00;0
"117000000";"1stdibs";"E-Commerce ";"operating";4;2001-01-01 00:00:00;2011-11-03 00:00:00;0
"750000";"1stGig.com";"E-Commerce ";"operating";1;2009-08-01 00:00:00;2012-10-01 00:00:00;0
"1500000";"1World Online";"Enterprise Software ";"operating";2;2011-12-01 00:00:00;2013-07-02 00:00:00;0
"150000";"20/20 Gene Systems Inc.";"Biotechnology ";"operating";1;2000-05-01 00:00:00;2012-09-25 00:00:00;0
"41000000";"2080 Media";"News ";"operating";5;2008-01-01 00:00:00;2010-08-05 00:00:00;0
"2800000";"20x200";"Art ";"operating";2;2007-09-01 00:00:00;2009-10-01 00:00:00;0
"5050000";"2.10E+07";"Big Data ";"operating";1;2013-01-01 00:00:00;2013-11-17 00:00:00;0
"15034750";"22nd Century Group";"Biotechnology ";"operating";6;1998-01-01 00:00:00;2010-12-28 00:00:00;0
"111949900";"23andMe";"Biotechnology ";"operating";6;2006-04-01 00:00:00;2007-05-01 00:00:00;0
"400000";"24Fundraiser.com";"Social Fundraising ";"operating";1;2007-08-01 00:00:00;2014-05-01 00:00:00;0
"16000000";"24M Technologies";"Clean Technology ";"operating";1;2010-01-01 00:00:00;2010-08-16 00:00:00;0
"50000";"24PageBooks";"Software ";"closed";1;2010-01-01 00:00:00;2011-05-24 00:00:00;1
"200000";"250ok";"Software ";"operating";1;2012-01-01 00:00:00;2012-09-01 00:00:00;0
"118000";"27 Perry";"E-Commerce ";"closed";1;2012-07-25 00:00:00;2012-05-17 00:00:00;1
"5844811";"28msec";"Software ";"operating";1;2008-01-01 00:00:00;2013-10-28 00:00:00;0
"250000";"2DOLife.com";"Software ";"operating";1;2011-12-01 00:00:00;2013-11-10 00:00:00;0
"275000";"2GO Mobile Solutions";"Software ";"operating";1;2008-01-01 00:00:00;2010-04-09 00:00:00;0
"85000000";"2nd Story Software, Inc.";"Software ";"acquired";1;1998-02-15 00:00:00;2005-03-30 00:00:00;0
"37644420";"2nd Watch";"Corporate IT ";"operating";4;2010-01-01 00:00:00;2011-12-06 00:00:00;0
"58000";"2NGageU";"Mobile Social ";"operating";1;2011-12-26 00:00:00;2012-04-12 00:00:00;0
"6000";"2Nite2Nite.net";"Advertising ";"operating";1;2013-09-13 00:00:00;2014-09-13 00:00:00;0
"95875000";"2U";"Software ";"operating";6;2008-01-01 00:00:00;2009-03-25 00:00:00;0
"78089000";"3-V Biosciences";"Biotechnology ";"operating";4;2007-03-01 00:00:00;2009-07-10 00:00:00;0
"25000";"30 Second Showcase";"Photography ";"operating";1;2013-04-01 00:00:00;2013-05-20 00:00:00;0
